customer_id,signup_date,acquisition_channel,country,device_type,customer_segment,base_aov,repeat_score,discount_probability,refund_probability,total_orders,total_revenue,total_profit,avg_order_value,total_refunds,discount_order_rate,first_order_date,last_order_date,customer_lifetime_days,repeat_customer
C00054,2024-04-03,Organic,UK,Mobile,Steady Repeaters,98.43,3.52,0.24,0.05,3,303.17,165.25,101.05666666666667,0.0,0.0,2024-04-03,2024-06-23,81,True
C00055,2025-03-07,Facebook,UK,Mobile,One-Time Buyers,49.65,0.77,0.61,0.07,1,36.12,18.05,36.12,0.0,1.0,2025-03-07,2025-03-07,0,False
C00056,2024-04-09,Google,UK,Tablet,Promo Shoppers,96.02,2.4,0.7,0.08,5,461.73,214.67,92.346,0.0,0.6,2024-04-09,2025-01-04,270,True
C00057,2024-11-20,Organic,US,Mobile,VIP Loyalists,159.45,6.05,0.14,0.03,7,1349.03,753.82,192.71857142857144,0.0,0.2857142857142857,2024-11-20,2025-06-29,221,True
C00058,2025-01-14,Referral,Germany,Desktop,Seasonal Gifters,139.44,2.25,0.27,0.04,2,344.97,169.97,172.485,0.0,0.0,2025-01-14,2025-05-14,120,True
C00059,2025-02-20,Facebook,Germany,Desktop,Steady Repeaters,66.15,2.24,0.34,0.05,2,171.96,69.03,85.98,0.0,0.0,2025-02-20,2025-03-29,37,True
C00060,2024-02-04,Organic,UK,Mobile,Steady Repeaters,103.87,3.52,0.24,0.05,2,205.32,111.9,102.66,0.0,0.0,2024-02-04,2024-03-05,30,True
C00061,2025-02-21,Google,UK,Desktop,Steady Repeaters,99.3,3.2,0.25,0.05,3,301.65,139.18,100.55,0.0,0.6666666666666666,2025-02-21,2025-06-13,112,True
C00062,2024-10-03,Organic,France,Mobile,One-Time Buyers,44.4,1.21,0.43,0.07,1,43.48,-3.45,43.48,20.99,0.0,2024-10-03,2024-10-03,0,False
C00063,2024-04-08,Google,UK,Mobile,Seasonal Gifters,76.46,1.8,0.3,0.04,2,168.08,77.36,84.04,0.0,0.5,2024-04-08,2024-08-04,118,True
C00064,2025-01-03,Organic,France,Desktop,One-Time Buyers,50.35,1.21,0.43,0.07,1,33.44,17.12,33.44,0.0,0.0,2025-01-03,2025-01-03,0,False
C00065,2024-03-02,Facebook,UK,Mobile,One-Time Buyers,30.19,0.77,0.61,0.07,1,19.71,11.63,19.71,0.0,1.0,2024-03-02,2024-03-02,0,False
C00066,2024-03-16,Email,UK,Tablet,Steady Repeaters,107.93,4.64,0.21,0.05,3,343.52,185.35,114.50666666666666,0.0,0.0,2024-03-16,2024-06-13,89,True
C00067,2025-05-20,Referral,US,Mobile,Steady Repeaters,86.86,4.0,0.23,0.05,1,72.54,31.07,72.54,0.0,0.0,2025-05-20,2025-05-20,0,False
C00068,2024-05-30,Organic,US,Desktop,Steady Repeaters,126.39,3.52,0.24,0.05,4,595.97,290.28999999999996,148.9925,0.0,0.0,2024-05-30,2024-11-28,182,True
C00069,2025-02-01,Email,France,Tablet,One-Time Buyers,45.91,1.59,0.38,0.07,1,39.72,22.45,39.72,0.0,0.0,2025-02-01,2025-02-01,0,False
C00070,2024-03-14,Organic,UK,Mobile,Seasonal Gifters,136.87,1.98,0.28,0.04,2,199.19,93.65,99.595,0.0,0.0,2024-03-14,2024-07-28,136,True
C00071,2024-06-16,Referral,Germany,Mobile,One-Time Buyers,62.31,1.38,0.41,0.07,1,42.48,21.97,42.48,0.0,0.0,2024-06-16,2024-06-16,0,False
C00072,2025-05-14,Referral,UK,Mobile,VIP Loyalists,151.87,6.88,0.14,0.03,2,327.69,194.78,163.845,0.0,0.0,2025-05-14,2025-06-30,47,True
C00073,2024-09-08,Referral,UK,Mobile,Steady Repeaters,67.67,4.0,0.23,0.05,5,329.6,167.53,65.92,0.0,0.2,2024-09-08,2025-03-13,186,True
C00074,2024-08-07,Email,UK,Mobile,Seasonal Gifters,153.25,2.61,0.26,0.04,2,333.71,171.8,166.855,0.0,0.0,2024-08-07,2025-01-02,148,True
C00075,2024-01-01,Facebook,US,Desktop,Promo Shoppers,49.67,1.68,0.9,0.08,1,36.53,2.14,36.53,0.0,1.0,2024-01-01,2024-01-01,0,False
C00076,2024-04-26,Google,UK,Mobile,Promo Shoppers,90.74,2.4,0.7,0.08,2,149.89999999999998,52.78,74.94999999999999,0.0,0.5,2024-04-26,2024-07-01,66,True
C00077,2024-05-28,Email,France,Mobile,Seasonal Gifters,117.27,2.61,0.26,0.04,3,337.32000000000005,178.32,112.44000000000001,0.0,0.3333333333333333,2024-05-28,2024-12-08,194,True
C00078,2024-05-22,Email,UK,Mobile,One-Time Buyers,78.69,1.59,0.38,0.07,1,78.96,-3.18,78.96,52.4,0.0,2024-05-22,2024-05-22,0,False
C00079,2024-01-12,Google,UK,Desktop,Promo Shoppers,64.96,2.4,0.7,0.08,3,123.73,48.080000000000005,41.24333333333333,0.0,1.0,2024-01-12,2024-06-11,151,True
C00080,2024-11-11,Email,US,Mobile,Steady Repeaters,105.2,4.64,0.21,0.05,4,411.4,209.52,102.85,0.0,0.0,2024-11-11,2025-04-29,169,True
C00081,2025-05-16,Email,France,Tablet,Promo Shoppers,116.05,3.48,0.59,0.08,1,62.11,13.51,62.11,0.0,1.0,2025-05-16,2025-05-16,0,False
C00082,2024-09-12,Email,UK,Tablet,Steady Repeaters,83.5,4.64,0.21,0.05,8,678.4,258.32,84.8,78.64,0.125,2024-09-12,2025-06-28,289,True
C00083,2024-09-07,Referral,UK,Desktop,Promo Shoppers,97.33,3.0,0.63,0.08,5,430.64,209.81,86.128,0.0,0.8,2024-09-07,2025-05-02,237,True
C00084,2025-04-05,Email,UK,Mobile,Seasonal Gifters,111.04,2.61,0.26,0.04,1,116.03,63.14,116.03,0.0,0.0,2025-04-05,2025-04-05,0,False
C00085,2025-06-01,Email,UK,Mobile,VIP Loyalists,168.88,7.97,0.13,0.03,1,210.02,118.64,210.02,0.0,0.0,2025-06-01,2025-06-01,0,False
C00086,2025-04-02,Referral,UK,Desktop,One-Time Buyers,92.34,1.38,0.41,0.07,1,62.75,18.13,62.75,0.0,1.0,2025-04-02,2025-04-02,0,False
C00087,2025-03-21,Organic,UK,Mobile,Steady Repeaters,100.04,3.52,0.24,0.05,1,100.33,59.73,100.33,0.0,0.0,2025-03-21,2025-03-21,0,False
C00088,2025-03-13,Organic,UK,Mobile,VIP Loyalists,149.89,6.05,0.14,0.03,5,758.59,428.88,151.71800000000002,0.0,0.2,2025-03-13,2025-06-07,86,True
C00089,2025-01-23,Google,Germany,Mobile,One-Time Buyers,61.15,1.1,0.45,0.07,1,43.52,16.17,43.52,0.0,1.0,2025-01-23,2025-01-23,0,False
C00090,2024-04-12,Facebook,US,Desktop,Promo Shoppers,96.13,1.68,0.9,0.08,2,193.24,88.28999999999999,96.62,0.0,0.5,2024-04-12,2024-06-22,71,True
C00091,2024-11-30,Email,UK,Mobile,Steady Repeaters,124.53,4.64,0.21,0.05,5,686.47,228.98000000000002,137.294,137.72,0.0,2024-11-30,2025-06-17,199,True
C00092,2024-04-15,Google,US,Mobile,Steady Repeaters,97.59,3.2,0.25,0.05,1,99.45,54.14,99.45,0.0,0.0,2024-04-15,2024-04-15,0,False
C00093,2024-11-25,Referral,UK,Tablet,One-Time Buyers,69.86,1.38,0.41,0.07,1,85.06,41.43,85.06,0.0,1.0,2024-11-25,2024-11-25,0,False
C00094,2024-04-20,Organic,UK,Mobile,Steady Repeaters,87.78,3.52,0.24,0.05,4,344.24,102.11,86.06,45.21,0.5,2024-04-20,2024-08-31,133,True
C00095,2025-06-03,Email,UK,Mobile,Steady Repeaters,118.91,4.64,0.21,0.05,1,124.14,70.24,124.14,0.0,0.0,2025-06-03,2025-06-03,0,False
C00096,2024-03-01,Referral,UK,Tablet,Promo Shoppers,64.38,3.0,0.63,0.08,2,131.84,77.43,65.92,0.0,0.5,2024-03-01,2024-04-08,38,True
C00097,2025-06-17,Email,UK,Mobile,Steady Repeaters,84.51,4.64,0.21,0.05,1,89.08,55.51,89.08,0.0,0.0,2025-06-17,2025-06-17,0,False
C00098,2024-09-05,Google,US,Mobile,Steady Repeaters,96.73,3.2,0.25,0.05,2,282.08,72.2,141.04,86.64,0.0,2024-09-05,2024-11-14,70,True
C00099,2024-02-17,Facebook,UK,Mobile,Promo Shoppers,62.32,1.68,0.9,0.08,2,99.77000000000001,41.650000000000006,49.885000000000005,0.0,1.0,2024-02-17,2024-04-12,55,True
C00100,2024-02-25,Facebook,UK,Mobile,One-Time Buyers,53.0,0.77,0.61,0.07,1,41.95,21.89,41.95,0.0,1.0,2024-02-25,2024-02-25,0,False
C00101,2024-12-30,Google,UK,Mobile,Promo Shoppers,85.05,2.4,0.7,0.08,1,136.99,62.04,136.99,0.0,0.0,2024-12-30,2024-12-30,0,False
C00102,2024-01-15,Facebook,UK,Desktop,One-Time Buyers,47.25,0.77,0.61,0.07,1,17.14,6.75,17.14,0.0,1.0,2024-01-15,2024-01-15,0,False
C00103,2024-09-29,Facebook,UK,Mobile,Steady Repeaters,72.51,2.24,0.34,0.05,2,153.3,77.56,76.65,0.0,0.5,2024-09-29,2024-11-19,51,True
C00104,2024-03-07,Referral,UK,Desktop,Steady Repeaters,82.72,4.0,0.23,0.05,7,594.03,333.31,84.86142857142856,0.0,0.2857142857142857,2024-03-07,2025-03-10,368,True
C00105,2025-01-03,Google,UK,Desktop,One-Time Buyers,42.95,1.1,0.45,0.07,1,31.03,7.15,31.03,0.0,1.0,2025-01-03,2025-01-03,0,False
C00106,2024-11-10,Referral,US,Mobile,Steady Repeaters,116.56,4.0,0.23,0.05,5,566.91,271.85,113.38199999999999,0.0,0.2,2024-11-10,2025-05-16,187,True
C00107,2025-05-17,Google,UK,Mobile,Seasonal Gifters,132.72,1.8,0.3,0.04,1,135.32,77.0,135.32,0.0,1.0,2025-05-17,2025-05-17,0,False
C00108,2024-08-30,Facebook,UK,Desktop,VIP Loyalists,118.3,3.85,0.2,0.03,5,605.0699999999999,297.7,121.01399999999998,0.0,0.4,2024-08-30,2025-01-23,146,True
C00109,2025-04-12,Facebook,France,Desktop,VIP Loyalists,109.19,3.85,0.2,0.03,4,417.03999999999996,169.55,104.25999999999999,58.51,0.25,2025-04-12,2025-06-25,74,True
C00110,2025-01-26,Facebook,France,Mobile,Steady Repeaters,90.38,2.24,0.34,0.05,4,446.08,222.59,111.52,0.0,0.0,2025-01-26,2025-06-13,138,True
C00111,2024-08-12,Facebook,UK,Tablet,Promo Shoppers,66.5,1.68,0.9,0.08,1,50.59,16.46,50.59,0.0,1.0,2024-08-12,2024-08-12,0,False
C00112,2025-05-25,Facebook,UK,Mobile,One-Time Buyers,72.68,0.77,0.61,0.07,1,50.82,13.17,50.82,0.0,1.0,2025-05-25,2025-05-25,0,False
C00113,2024-01-10,Google,UK,Mobile,Promo Shoppers,110.2,2.4,0.7,0.08,1,79.18,8.05,79.18,0.0,1.0,2024-01-10,2024-01-10,0,False
C00114,2024-11-24,Facebook,UK,Mobile,Steady Repeaters,106.05,2.24,0.34,0.05,2,287.03999999999996,0.28000000000000114,143.51999999999998,124.06,0.5,2024-11-24,2024-12-13,19,True
C00115,2024-04-04,Google,UK,Mobile,One-Time Buyers,70.39,1.1,0.45,0.07,1,67.49,42.21,67.49,0.0,0.0,2024-04-04,2024-04-04,0,False
C00116,2024-12-14,Email,US,Mobile,Steady Repeaters,110.79,4.64,0.21,0.05,4,498.73,235.4,124.6825,0.0,0.0,2024-12-14,2025-06-10,178,True
C00117,2024-06-13,Facebook,UK,Mobile,Steady Repeaters,87.68,2.24,0.34,0.05,3,267.52,132.56,89.17333333333333,0.0,0.3333333333333333,2024-06-13,2024-09-12,91,True
C00118,2024-10-22,Organic,Germany,Mobile,Promo Shoppers,90.52,2.64,0.66,0.08,5,423.53999999999996,208.76,84.708,0.0,0.6,2024-10-22,2025-06-21,242,True
C00119,2024-01-23,Facebook,Germany,Desktop,Promo Shoppers,89.23,1.68,0.9,0.08,2,117.25999999999999,40.29,58.629999999999995,0.0,1.0,2024-01-23,2024-03-11,48,True
C00120,2024-04-13,Organic,UK,Mobile,Steady Repeaters,71.31,3.52,0.24,0.05,3,208.02,102.12,69.34,0.0,0.0,2024-04-13,2024-08-31,140,True
C00121,2025-03-23,Email,France,Desktop,One-Time Buyers,98.29,1.59,0.38,0.07,1,75.44,41.24,75.44,0.0,0.0,2025-03-23,2025-03-23,0,False
C00122,2025-02-14,Referral,US,Desktop,Promo Shoppers,78.24,3.0,0.63,0.08,1,72.52,-2.93,72.52,42.02,0.0,2025-02-14,2025-02-14,0,False
C00123,2024-04-27,Email,UK,Desktop,One-Time Buyers,92.51,1.59,0.38,0.07,1,68.02,-33.34,68.02,65.54,0.0,2024-04-27,2024-04-27,0,False
C00124,2024-04-04,Organic,US,Desktop,Steady Repeaters,88.33,3.52,0.24,0.05,6,544.95,233.05,90.825,35.5,0.5,2024-04-04,2024-11-26,236,True
C00125,2024-01-11,Google,US,Mobile,Promo Shoppers,76.99,2.4,0.7,0.08,2,141.63,39.34,70.815,0.0,1.0,2024-01-11,2024-03-06,55,True
C00126,2024-08-05,Organic,UK,Mobile,Steady Repeaters,99.9,3.52,0.24,0.05,3,362.96000000000004,221.76,120.98666666666668,0.0,0.0,2024-08-05,2024-12-22,139,True
C00127,2025-04-04,Google,US,Mobile,Promo Shoppers,97.73,2.4,0.7,0.08,2,152.85,64.22999999999999,76.425,0.0,1.0,2025-04-04,2025-05-23,49,True
C00128,2024-10-23,Email,UK,Mobile,Steady Repeaters,120.85,4.64,0.21,0.05,6,755.09,259.67,125.84833333333334,133.42,0.3333333333333333,2024-10-23,2025-06-13,233,True
C00129,2025-02-23,Google,UK,Tablet,Seasonal Gifters,111.3,1.8,0.3,0.04,2,192.55,81.41,96.275,0.0,0.5,2025-02-23,2025-05-29,95,True
C00130,2025-03-11,Organic,UK,Mobile,Promo Shoppers,91.41,2.64,0.66,0.08,3,228.08,108.37,76.02666666666667,0.0,0.3333333333333333,2025-03-11,2025-06-22,103,True
C00131,2024-03-15,Google,UK,Mobile,One-Time Buyers,67.42,1.1,0.45,0.07,1,57.83,31.98,57.83,0.0,0.0,2024-03-15,2024-03-15,0,False
C00132,2024-06-27,Referral,UK,Mobile,Promo Shoppers,91.47,3.0,0.63,0.08,2,149.82999999999998,54.129999999999995,74.91499999999999,0.0,0.5,2024-06-27,2024-09-20,85,True
C00133,2024-06-09,Google,UK,Mobile,Steady Repeaters,116.77,3.2,0.25,0.05,3,283.61,57.56000000000001,94.53666666666668,100.5,0.3333333333333333,2024-06-09,2024-09-11,94,True
C00134,2024-03-24,Email,US,Mobile,One-Time Buyers,49.29,1.59,0.38,0.07,1,34.37,17.42,34.37,0.0,0.0,2024-03-24,2024-03-24,0,False
C00135,2024-12-25,Google,Germany,Mobile,Promo Shoppers,119.28,2.4,0.7,0.08,3,392.13,212.89,130.71,0.0,0.3333333333333333,2024-12-25,2025-05-27,153,True
C00136,2024-02-01,Facebook,UK,Desktop,VIP Loyalists,120.01,3.85,0.2,0.03,8,966.8199999999999,455.13,120.85249999999999,0.0,0.125,2024-02-01,2024-09-11,223,True
C00137,2024-01-19,Google,UK,Desktop,Promo Shoppers,100.62,2.4,0.7,0.08,3,251.15999999999997,74.83,83.71999999999998,0.0,1.0,2024-01-19,2024-04-29,101,True
C00138,2024-09-20,Organic,UK,Mobile,Promo Shoppers,35.11,2.64,0.66,0.08,5,136.75,-2.5699999999999994,27.35,37.82,1.0,2024-09-20,2025-06-18,271,True
C00139,2024-06-10,Referral,UK,Mobile,One-Time Buyers,63.69,1.38,0.41,0.07,1,31.1,15.99,31.1,0.0,0.0,2024-06-10,2024-06-10,0,False
C00140,2025-03-18,Facebook,US,Mobile,Steady Repeaters,79.86,2.24,0.34,0.05,3,198.95,101.65,66.31666666666666,0.0,0.0,2025-03-18,2025-06-10,84,True
C00141,2024-02-20,Google,UK,Mobile,Promo Shoppers,59.5,2.4,0.7,0.08,1,43.99,5.74,43.99,0.0,1.0,2024-02-20,2024-02-20,0,False
C00142,2025-05-05,Organic,US,Desktop,VIP Loyalists,154.26,6.05,0.14,0.03,3,419.84000000000003,230.63,139.9466666666667,0.0,0.0,2025-05-05,2025-06-26,52,True
C00143,2024-01-07,Referral,UK,Mobile,Seasonal Gifters,136.01,2.25,0.27,0.04,1,132.42,57.09,132.42,0.0,0.0,2024-01-07,2024-01-07,0,False
C00144,2024-03-22,Email,Germany,Desktop,One-Time Buyers,85.37,1.59,0.38,0.07,1,83.73,48.24,83.73,0.0,0.0,2024-03-22,2024-03-22,0,False
C00145,2025-01-20,Facebook,UK,Mobile,Seasonal Gifters,84.21,1.26,0.41,0.04,1,78.22,47.33,78.22,0.0,0.0,2025-01-20,2025-01-20,0,False
C00146,2024-02-22,Organic,US,Mobile,One-Time Buyers,63.84,1.21,0.43,0.07,1,34.71,15.17,34.71,0.0,1.0,2024-02-22,2024-02-22,0,False
C00147,2024-06-06,Referral,US,Mobile,Steady Repeaters,115.06,4.0,0.23,0.05,5,658.02,389.88,131.60399999999998,0.0,0.0,2024-06-06,2024-11-01,148,True
C00148,2024-08-24,Organic,UK,Mobile,One-Time Buyers,64.63,1.21,0.43,0.07,1,40.52,12.86,40.52,0.0,1.0,2024-08-24,2024-08-24,0,False
C00149,2025-03-17,Organic,US,Mobile,Promo Shoppers,79.46,2.64,0.66,0.08,2,203.89,110.98,101.945,0.0,0.0,2025-03-17,2025-06-06,81,True
C00150,2024-02-10,Facebook,UK,Desktop,One-Time Buyers,61.6,0.77,0.61,0.07,1,40.34,15.62,40.34,0.0,1.0,2024-02-10,2024-02-10,0,False
C00151,2024-12-07,Google,US,Desktop,Steady Repeaters,103.78,3.2,0.25,0.05,3,298.46000000000004,155.31,99.48666666666668,0.0,0.6666666666666666,2024-12-07,2025-04-01,115,True
