order_id,customer_id,order_date,order_number,acquisition_channel,country,device_type,customer_segment,product_category,units,gross_revenue,discount_amount,net_revenue,shipping_revenue,cogs,fulfilment_cost,payment_fee,refund_amount,net_profit,profit_margin_pct,used_discount,order_status,days_since_prior_order
O000091,C00041,2025-02-17,3,Email,UK,Tablet,Steady Repeaters,Beauty,1,72.35,7.49,64.86,2.99,26.02,3.67,2.08,0.0,36.09,55.63,True,Completed,78.0
O000092,C00042,2025-01-20,1,Referral,UK,Mobile,Promo Shoppers,Gift Sets,3,50.69,16.53,34.16,0.0,23.69,6.21,1.19,0.0,3.07,8.98,True,Completed,
O000093,C00042,2025-04-06,2,Referral,UK,Mobile,Promo Shoppers,Bundles,1,90.22,19.42,70.8,2.99,42.98,3.65,2.25,0.0,24.91,35.18,True,Completed,76.0
O000094,C00042,2025-05-31,3,Referral,UK,Mobile,Promo Shoppers,Beauty,1,84.51,15.49,69.03,0.0,31.71,3.61,2.2,0.0,31.5,45.64,True,Completed,55.0
O000095,C00043,2024-02-08,1,Facebook,UK,Desktop,Steady Repeaters,Supplements,2,99.87,0.0,99.87,2.99,40.01,4.88,3.1,0.0,54.88,54.95,False,Completed,
O000096,C00043,2024-04-12,2,Facebook,UK,Desktop,Steady Repeaters,Accessories,1,92.73,0.0,92.73,0.0,29.32,3.35,2.89,0.0,57.18,61.66,False,Completed,64.0
O000097,C00043,2024-06-21,3,Facebook,UK,Desktop,Steady Repeaters,Supplements,1,96.68,0.0,96.68,2.99,42.59,3.88,3.0,0.0,50.19,51.92,False,Completed,70.0
O000098,C00043,2024-08-03,4,Facebook,UK,Desktop,Steady Repeaters,Beauty,3,86.12,0.0,86.12,4.99,34.18,6.67,2.7,0.0,47.56,55.23,False,Completed,43.0
O000099,C00044,2024-02-05,1,Referral,Germany,Mobile,One-Time Buyers,Accessories,3,53.64,8.09,45.55,0.0,16.32,5.73,1.52,0.0,21.99,48.26,True,Completed,
O000100,C00045,2025-04-15,1,Google,US,Desktop,One-Time Buyers,Bundles,1,52.38,0.0,52.38,0.0,22.27,3.86,1.72,0.0,24.53,46.83,False,Completed,
O000101,C00046,2024-07-08,1,Facebook,UK,Mobile,Promo Shoppers,Supplements,3,61.07,20.54,40.53,3.99,26.15,6.29,1.38,0.0,10.72,26.44,True,Completed,
O000102,C00047,2024-02-23,1,Google,UK,Mobile,Steady Repeaters,Beauty,2,79.87,0.0,79.87,2.99,31.43,4.22,2.52,0.0,44.69,55.96,False,Completed,
O000103,C00048,2024-12-15,1,Organic,France,Mobile,One-Time Buyers,Supplements,3,82.73,0.0,82.73,0.0,34.72,5.13,2.6,0.0,40.29,48.69,False,Completed,
O000104,C00049,2024-04-15,1,Google,US,Tablet,Promo Shoppers,Beauty,2,96.39,23.13,73.25,0.0,37.53,4.55,2.32,0.0,28.85,39.38,True,Completed,
O000105,C00049,2024-06-25,2,Google,US,Tablet,Promo Shoppers,Home,4,102.48,0.0,102.48,0.0,58.24,7.3,3.17,0.0,33.76,32.95,False,Completed,71.0
O000106,C00050,2024-04-26,1,Organic,UK,Mobile,Steady Repeaters,Supplements,1,83.16,0.0,83.16,3.99,32.79,3.76,2.61,0.0,47.99,57.71,False,Completed,
O000107,C00050,2024-07-03,2,Organic,UK,Mobile,Steady Repeaters,Beauty,1,59.38,0.0,59.38,0.0,23.27,3.6,1.92,27.24,3.35,5.65,False,Completed,68.0
O000108,C00050,2024-08-14,3,Organic,UK,Mobile,Steady Repeaters,Beauty,1,86.41,0.0,86.41,3.99,31.43,3.45,2.71,0.0,52.82,61.13,False,Completed,42.0
O000109,C00051,2025-05-27,1,Organic,US,Mobile,VIP Loyalists,Accessories,2,128.58,0.0,128.58,0.0,42.27,4.75,3.93,0.0,77.64,60.38,False,Completed,
O000110,C00051,2025-06-20,2,Organic,US,Mobile,VIP Loyalists,Bundles,1,81.21,0.0,81.21,0.0,34.8,3.31,2.56,0.0,40.55,49.93,False,Completed,24.0
O000111,C00051,2025-06-30,3,Organic,US,Mobile,VIP Loyalists,Bundles,2,129.04,10.43,118.61,3.99,59.1,5.06,3.64,0.0,54.8,46.2,True,Completed,10.0
O000112,C00052,2024-07-07,1,Organic,France,Desktop,VIP Loyalists,Accessories,1,140.95,0.0,140.95,2.99,44.46,3.83,4.29,0.0,91.37,64.82,False,Completed,
O000113,C00052,2024-08-24,2,Organic,France,Desktop,VIP Loyalists,Supplements,1,171.92,0.0,171.92,0.0,73.43,3.6,5.19,0.0,89.71,52.18,False,Completed,48.0
O000114,C00052,2024-10-02,3,Organic,France,Desktop,VIP Loyalists,Accessories,2,125.9,0.0,125.9,3.99,40.65,4.33,3.85,0.0,81.05,64.38,False,Completed,39.0
O000115,C00052,2024-11-02,4,Organic,France,Desktop,VIP Loyalists,Supplements,2,170.58,0.0,170.58,2.99,72.56,4.78,5.15,0.0,91.08,53.4,False,Refunded,31.0
O000116,C00052,2024-12-01,5,Organic,France,Desktop,VIP Loyalists,Beauty,1,218.69,0.0,218.69,0.0,88.5,3.64,6.54,0.0,120.01,54.88,False,Completed,29.0
O000117,C00052,2024-12-11,6,Organic,France,Desktop,VIP Loyalists,Bundles,2,134.09,0.0,134.09,0.0,58.85,4.38,4.09,0.0,66.77,49.79,False,Completed,10.0
O000118,C00052,2025-01-21,7,Organic,France,Desktop,VIP Loyalists,Beauty,2,119.27,0.0,119.27,4.99,43.09,5.12,3.66,0.0,72.4,60.7,False,Completed,41.0
O000119,C00053,2024-03-16,1,Google,US,Mobile,One-Time Buyers,Accessories,1,46.73,0.0,46.73,2.99,15.84,3.68,1.56,0.0,28.65,61.31,False,Completed,
O000120,C00054,2024-04-03,1,Organic,UK,Mobile,Steady Repeaters,Home,2,90.18,0.0,90.18,3.99,47.86,4.14,2.82,0.0,39.35,43.63,False,Completed,
O000121,C00054,2024-05-23,2,Organic,UK,Mobile,Steady Repeaters,Accessories,1,134.04,0.0,134.04,0.0,42.6,3.88,4.09,0.0,83.47,62.27,False,Completed,50.0
O000122,C00054,2024-06-23,3,Organic,UK,Mobile,Steady Repeaters,Beauty,1,78.95,0.0,78.95,0.0,30.7,3.33,2.49,0.0,42.43,53.74,False,Completed,31.0
O000123,C00055,2025-03-07,1,Facebook,UK,Mobile,One-Time Buyers,Beauty,1,45.52,9.41,36.12,2.99,16.48,3.33,1.25,0.0,18.05,49.98,True,Refunded,
O000124,C00056,2024-04-09,1,Google,UK,Tablet,Promo Shoppers,Home,2,109.07,21.77,87.3,2.99,59.0,4.5,2.73,0.0,24.06,27.56,True,Completed,
O000125,C00056,2024-05-26,2,Google,UK,Tablet,Promo Shoppers,Accessories,2,120.77,0.0,120.77,0.0,39.73,4.45,3.7,0.0,72.88,60.35,False,Completed,47.0
O000126,C00056,2024-08-17,3,Google,UK,Tablet,Promo Shoppers,Accessories,2,72.44,15.57,56.87,0.0,23.86,4.75,1.85,0.0,26.41,46.44,True,Completed,83.0
O000127,C00056,2024-10-02,4,Google,UK,Tablet,Promo Shoppers,Beauty,4,171.16,39.33,131.83,3.99,67.64,7.38,4.02,0.0,56.78,43.07,True,Completed,46.0
O000128,C00056,2025-01-04,5,Google,UK,Tablet,Promo Shoppers,Bundles,2,64.96,0.0,64.96,3.99,28.18,4.15,2.08,0.0,34.54,53.17,False,Partially Refunded,94.0
O000129,C00057,2024-11-20,1,Organic,US,Mobile,VIP Loyalists,Bundles,1,222.43,0.0,222.43,0.0,100.75,3.38,6.65,0.0,111.65,50.2,False,Completed,
O000130,C00057,2024-12-19,2,Organic,US,Mobile,VIP Loyalists,Gift Sets,2,233.86,0.0,233.86,2.99,116.25,4.69,6.98,0.0,108.94,46.58,False,Completed,29.0
O000131,C00057,2025-01-11,3,Organic,US,Mobile,VIP Loyalists,Beauty,2,204.13,0.0,204.13,3.99,75.51,4.64,6.12,0.0,121.86,59.7,False,Completed,23.0
O000132,C00057,2025-03-02,4,Organic,US,Mobile,VIP Loyalists,Beauty,1,199.48,14.67,184.81,0.0,74.51,3.47,5.56,0.0,101.26,54.79,True,Completed,50.0
O000133,C00057,2025-03-23,5,Organic,US,Mobile,VIP Loyalists,Accessories,1,145.33,0.0,145.33,0.0,43.9,3.42,4.41,0.0,93.6,64.41,False,Completed,21.0
O000134,C00057,2025-05-26,6,Organic,US,Mobile,VIP Loyalists,Accessories,1,171.45,0.0,171.45,3.99,57.18,3.35,5.17,0.0,109.73,64.0,False,Completed,64.0
O000135,C00057,2025-06-29,7,Organic,US,Mobile,VIP Loyalists,Beauty,1,198.47,11.45,187.02,0.0,70.77,3.86,5.62,0.0,106.78,57.09,True,Completed,34.0
O000136,C00058,2025-01-14,1,Referral,Germany,Desktop,Seasonal Gifters,Gift Sets,3,187.68,0.0,187.68,3.99,89.66,5.76,5.64,0.0,90.62,48.28,False,Completed,
O000137,C00058,2025-05-14,2,Referral,Germany,Desktop,Seasonal Gifters,Supplements,1,157.29,0.0,157.29,0.0,69.55,3.63,4.76,0.0,79.35,50.45,False,Completed,120.0
O000138,C00059,2025-02-20,1,Facebook,Germany,Desktop,Steady Repeaters,Gift Sets,1,84.42,0.0,84.42,0.0,39.3,3.41,2.65,0.0,39.06,46.26,False,Completed,
O000139,C00059,2025-03-29,2,Facebook,Germany,Desktop,Steady Repeaters,Home,1,87.54,0.0,87.54,0.0,51.02,3.81,2.74,0.0,29.97,34.24,False,Partially Refunded,37.0
O000140,C00060,2024-02-04,1,Organic,UK,Mobile,Steady Repeaters,Beauty,1,98.72,0.0,98.72,0.0,38.7,3.66,3.06,0.0,53.3,53.99,False,Completed,
O000141,C00060,2024-03-05,2,Organic,UK,Mobile,Steady Repeaters,Supplements,2,106.6,0.0,106.6,4.99,44.95,4.75,3.29,0.0,58.6,54.97,False,Completed,30.0
O000142,C00061,2025-02-21,1,Google,UK,Desktop,Steady Repeaters,Supplements,1,99.41,12.2,87.21,0.0,41.58,3.71,2.73,0.0,39.2,44.95,True,Completed,
O000143,C00061,2025-04-26,2,Google,UK,Desktop,Steady Repeaters,Supplements,1,97.96,12.86,85.1,0.0,43.59,3.31,2.67,0.0,35.53,41.75,True,Partially Refunded,64.0
O000144,C00061,2025-06-13,3,Google,UK,Desktop,Steady Repeaters,Supplements,2,129.34,0.0,129.34,0.0,56.06,4.88,3.95,0.0,64.45,49.83,False,Refunded,48.0
O000145,C00062,2024-10-03,1,Organic,France,Mobile,One-Time Buyers,Home,1,43.48,0.0,43.48,3.99,24.58,3.88,1.46,20.99,-3.45,-7.94,False,Completed,
O000146,C00063,2024-04-08,1,Google,UK,Mobile,Seasonal Gifters,Beauty,1,91.65,0.0,91.65,0.0,37.06,3.47,2.86,0.0,48.27,52.67,False,Completed,
